sourceFile,symbolName,symbolKind,isExported,cppTargetFile,status
"reactjs/packages/react/src/ReactChildren.js","forEachChildren","function",false,"packages/React/src/react/ReactChildren.cpp","not-started"
"reactjs/packages/react/src/ReactChildren.js","toArray","function",false,"packages/React/src/react/ReactChildren.cpp","not-started"
"reactjs/packages/react/src/ReactChildren.js","onlyChild","function",false,"packages/React/src/react/ReactChildren.cpp","not-started"
"reactjs/packages/react/src/ReactChildren.js","forEach","variable-export",true,"packages/React/src/react/ReactChildren.cpp","not-started"
"reactjs/packages/react/src/ReactChildren.js","map","variable-export",true,"packages/React/src/react/ReactChildren.cpp","not-started"
"reactjs/packages/react/src/ReactChildren.js","count","variable-export",true,"packages/React/src/react/ReactChildren.cpp","not-started"
"reactjs/packages/react/src/ReactChildren.js","only","variable-export",true,"packages/React/src/react/ReactChildren.cpp","not-started"
"reactjs/packages/react/src/ReactChildren.js","toArray","variable-export",true,"packages/React/src/react/ReactChildren.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","Children","variable-export",false,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","Children","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","createRef","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","Component","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","PureComponent","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","createContext","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","forwardRef","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","lazy","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","memo","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","cache","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","cacheSignal","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
